,time,high,low,open,volume,volumeto,close,conversionType,conversionSymbol,Date,Sentiment,BMSB,SMA,RSI
151,1491955200,1225.46,1207.36,1220.74,44783.23,54699396.14,1212.53,direct,,2017-04-12,0.2195849,0.0,1103.1409523809523,61.90449833418137
152,1492041600,1218.66,1150.29,1212.53,66051.93,78456422.62,1176.2,direct,,2017-04-13,0.2674113,0.0,1109.8633333333335,55.595296826362976
153,1492128000,1195.4,1162.16,1176.2,47217.49,56129576.67,1177.33,direct,,2017-04-14,0.2850202,0.0,1121.1790476190477,55.74637397528676
154,1492214400,1194.85,841.53,1177.33,28384.58,33877537.21,1176.99,direct,,2017-04-15,0.1860022,0.0,1131.2119047619049,55.68498462034032
155,1492300800,1187.97,1166.74,1176.99,18930.29,22538918.55,1176.8,direct,,2017-04-16,0.1664066,0.0,1141.0861904761903,55.6481050210793
156,1492387200,1202.97,1172.81,1176.8,46483.54,56095607.39,1194.01,direct,,2017-04-17,0.12868,59.2292169181179,1148.175238095238,58.33954122591146
157,1492473600,1213.88,1191.14,1194.01,52747.52,64900219.25,1206.09,direct,,2017-04-18,0.2327151,63.34706727347559,1155.8738095238095,60.1667509142461
158,1492560000,1218.21,1194.08,1206.09,43347.15,53034357.1,1215.2,direct,,2017-04-19,0.2555658,65.87795126193582,1164.1261904761905,61.53682970976527
159,1492646400,1246.64,1210.67,1215.2,55194.86,69223360.98,1238.09,direct,,2017-04-20,0.3328907,67.45581456483754,1173.6585714285713,64.81181103197014
160,1492732800,1256.97,1235.56,1238.09,41344.02,52498296.85,1249.64,direct,,2017-04-21,0.2669097,73.10586276865101,1181.7790476190476,66.3679143374128
161,1492819200,1256.97,1215.78,1249.64,43814.59,55776932.72,1240.89,direct,,2017-04-22,0.3355703,75.29879484489787,1189.1490476190477,64.05682018813793
162,1492905600,1256.23,1223.06,1240.89,42608.01,54224355.75,1249.14,direct,,2017-04-23,0.3804075,71.38429140348609,1196.374761904762,65.28430441091803
163,1492992000,1256.36,1234.86,1249.14,38542.24,49281629.32,1248.18,direct,,2017-04-24,0.3331719,72.54398051132253,1201.1661904761906,65.00610542735348
164,1493078400,1272.62,1244.21,1248.18,43885.78,56659016.28,1264.31,direct,,2017-04-25,0.2027949,70.96974527284677,1207.0014285714285,67.51122206397842
165,1493164800,1309.2,1263.0,1264.31,58908.66,77649710.39,1286.63,direct,,2017-04-26,0.1537522,74.38713371072996,1214.4661904761906,70.64300580621567
166,1493251200,1346.79,1285.3,1286.63,61771.48,83319636.4,1332.91,direct,,2017-04-27,0.119297,79.56433035107126,1221.3333333333333,75.84282633638867
167,1493337600,1356.15,1287.62,1332.91,77569.41,104536476.71,1329.62,direct,,2017-04-28,0.1733289,90.04110035913023,1227.9585714285715,74.82814660114914
168,1493424000,1343.69,1314.15,1329.62,40969.34,55982468.15,1336.28,direct,,2017-04-29,0.2533059,89.09362444012241,1235.3633333333335,75.54150411244363
169,1493510400,1358.94,1309.66,1336.28,40643.04,55470285.83,1351.91,direct,,2017-04-30,0.423635,89.48652299493293,1242.3904761904762,77.176243765584
170,1493596800,1448.68,1342.78,1351.91,100438.27,144414038.52,1415.81,direct,,2017-05-01,0.4032555,90.06230206167328,1252.3476190476192,82.36553184565054
171,1493683200,1471.14,1394.83,1415.81,70004.82,103342244.97,1445.93,direct,,2017-05-02,0.3940811,90.46569366994008,1263.0709523809523,84.1902072960255
172,1493769600,1496.39,1424.05,1445.93,81717.36,122551707.4,1485.55,direct,,2017-05-03,0.4145797,90.61771201966462,1276.0719047619048,86.21131842054871
173,1493856000,1609.84,1437.11,1485.55,136711.3,213084949.56,1516.76,direct,,2017-05-04,0.5664291,90.81951820835201,1292.2890476190476,87.5603893536852
174,1493942400,1588.11,1485.01,1516.76,120379.24,188015771.96,1507.77,direct,,2017-05-05,0.6355275,90.95893451397001,1308.0242857142857,84.98118685314542
175,1494028800,1560.42,1503.93,1507.77,59602.01,92747185.54,1545.29,direct,,2017-05-06,0.8381492,90.85710877981123,1325.562380952381,86.73710372428515
176,1494115200,1572.89,1495.18,1545.29,71355.58,111708072.42,1554.45,direct,,2017-05-07,0.6035228,91.03081241916738,1343.5457142857144,87.13263010079476
177,1494201600,1667.67,1552.86,1554.45,107226.89,174687869.23,1664.47,direct,,2017-05-08,0.4967734,91.03524493169142,1365.9485714285713,90.71446080682541
178,1494288000,1757.39,1619.97,1664.47,127228.68,219169486.19,1697.5,direct,,2017-05-09,0.5492581,91.5742871519473,1389.3490476190475,91.48114759547893
179,1494374400,1766.18,1664.99,1697.5,89679.81,156203600.07,1752.31,direct,,2017-05-10,0.6108448,91.6838176342726,1414.9257142857143,92.57650354051161
180,1494460800,1864.76,1741.54,1752.31,109009.0,198829123.41,1819.29,direct,,2017-05-11,0.6757475,91.888395627299,1442.601904761905,93.65088264861512
181,1494547200,1822.51,1641.18,1819.29,109341.25,192159873.95,1686.39,direct,,2017-05-12,0.5596882,92.12957955111169,1463.3995238095238,71.53002555072739
182,1494633600,1770.5,1594.59,1686.39,75467.87,128390095.83,1763.74,direct,,2017-05-13,0.7727243,91.45926231935087,1488.2971428571427,75.20146316548318
183,1494720000,1802.75,1736.13,1763.74,40635.4,72874378.57,1772.55,direct,,2017-05-14,0.994951,91.78115766903562,1513.2214285714285,75.58761627572554
184,1494806400,1776.65,1656.81,1772.55,80241.72,138499150.92,1708.92,direct,,2017-05-15,1.0,91.76899812244002,1535.1614285714286,67.42171754195408
185,1494892800,1752.55,1653.72,1708.92,75541.37,130379207.17,1729.34,direct,,2017-05-16,0.5655474,91.4135778023205,1557.3057142857144,68.59429199148077
186,1494979200,1842.83,1703.97,1729.34,94618.69,170954154.68,1801.3,direct,,2017-05-17,0.2825087,91.4654428109656,1581.8138095238096,72.368583895993
