,time,high,low,open,volume,volumeto,close,conversionType,conversionSymbol,Date,Sentiment,BMSB,SMA,RSI,OBV
62,1456963200,425.83,414.94,425.36,78902.45,33188751.08,419.56,direct,,2016-03-03,0.337848587,0.0,420.65380952380957,51.792447255555004,-93736.50999999963
63,1457049600,423.39,407.2,419.56,75267.61,31416610.3,409.48,direct,,2016-03-04,0.272687249,0.0,421.8652380952381,45.637500573785424,-169004.11999999965
64,1457136000,410.06,386.93,409.48,129149.15,51725937.08,399.0,direct,,2016-03-05,0.376378694,0.0,422.2890476190476,40.27814297683306,-298153.26999999967
65,1457222400,412.02,393.09,399.0,62593.92,25324456.27,405.96,direct,,2016-03-06,0.338021263,0.0,422.3109523809523,44.90548783183912,-235559.3499999997
66,1457308800,416.58,401.98,405.96,61774.07,25349627.97,414.87,direct,,2016-03-07,0.338107609,0.0,422.96809523809526,50.22268957102333,-173785.27999999968
67,1457395200,416.72,408.42,414.87,53769.8,22204517.93,411.9,direct,,2016-03-08,0.376378694,0.0,423.2290476190476,48.54099583474696,-227555.07999999967
68,1457481600,414.88,408.94,411.9,50919.66,21035428.97,412.76,direct,,2016-03-09,0.349873192,0.0,423.0204761904762,49.072765692765834,-176635.41999999966
69,1457568000,417.48,410.27,412.76,55735.81,23114636.62,415.83,direct,,2016-03-10,0.330336147,0.0,422.7552380952381,51.018652939236894,-120899.60999999967
70,1457654400,422.4,415.11,415.83,60632.19,25469781.33,419.11,direct,,2016-03-11,0.322475779,0.0,422.7138095238096,53.081339942954415,-60267.41999999966
71,1457740800,420.67,407.03,419.11,59635.49,24660321.63,410.36,direct,,2016-03-12,0.292536147,0.0,421.29952380952375,47.35252677994387,-119902.90999999965
72,1457827200,415.93,409.57,410.36,34977.81,14457108.0,412.41,direct,,2016-03-13,0.300856288,0.0,420.08714285714285,48.748133208882685,-84925.09999999966
73,1457913600,416.08,411.19,412.41,49332.82,20471909.73,414.31,direct,,2016-03-14,0.300988541,0.0,418.9690476190476,50.069240307581836,-35592.27999999966
74,1458000000,417.37,412.31,414.31,48596.63,20227610.88,415.13,direct,,2016-03-15,0.266981425,0.0,418.7419047619048,50.660351689482795,13004.35000000034
75,1458086400,416.95,413.32,415.13,44535.24,18509954.18,415.91,direct,,2016-03-16,0.338138903,0.0,418.41761904761904,51.25154221105384,57539.59000000034
76,1458172800,419.56,415.33,415.91,43820.66,18409340.68,418.16,direct,,2016-03-17,0.288153191,0.0,418.16428571428565,53.00095790500826,101360.25000000035
77,1458259200,418.58,402.48,418.16,66068.03,27178165.73,408.16,direct,,2016-03-18,0.28817424,0.0,417.2519047619047,45.23173549597051,35292.22000000035
78,1458345600,410.49,402.13,408.16,36997.54,15084656.26,408.69,direct,,2016-03-19,0.288574549,0.0,416.1752380952381,45.68616327384936,72289.76000000036
79,1458432000,413.45,407.24,408.69,30543.21,12577521.63,411.53,direct,,2016-03-20,0.343488688,0.0,415.17809523809524,48.16793349675767,102832.97000000035
80,1458518400,413.09,407.25,411.53,43159.26,17735457.25,411.11,direct,,2016-03-21,0.355733711,0.0,413.98285714285714,47.81993632508828,59673.71000000035
81,1458604800,417.94,410.78,411.11,49075.11,20425092.47,416.21,direct,,2016-03-22,0.267184418,0.0,413.1338095238095,52.324175857066635,108748.82000000036
82,1458691200,419.58,414.18,416.21,40605.05,16946522.38,416.98,direct,,2016-03-23,0.329328741,0.0,412.7347619047619,52.984059305841875,149353.87000000034
83,1458777600,417.68,412.88,416.98,38828.43,16210672.62,414.74,direct,,2016-03-24,0.324284913,0.0,412.50523809523804,50.78203988413492,110525.44000000035
84,1458864000,417.3,412.41,414.74,34588.15,14431200.38,415.71,direct,,2016-03-25,0.380825264,0.0,412.8019047619048,51.71781444997762,145113.59000000035
85,1458950400,417.71,413.93,415.71,28056.64,11696306.67,416.51,direct,,2016-03-26,0.374601711,0.0,413.6357142857143,52.51961217694022,173170.23000000033
86,1459036800,427.36,415.5,416.51,61724.4,26137150.51,424.57,direct,,2016-03-27,0.369846419,0.0,414.5219047619048,59.76853513555153,234894.63000000032
87,1459123200,425.36,419.7,424.57,43444.76,18410749.99,422.21,direct,,2016-03-28,0.338143776,0.0,414.8714285714285,57.023338180068095,191449.87000000032
88,1459209600,424.53,406.36,422.21,69113.03,28765857.05,415.0,direct,,2016-03-29,0.346671152,0.0,415.0190476190476,49.537462679404186,122336.84000000032
89,1459296000,416.22,408.4,415.0,43282.31,17890792.61,412.44,direct,,2016-03-30,0.396164317,0.0,415.00380952380954,47.16967773110843,79054.53000000032
90,1459382400,417.16,411.45,412.44,41840.9,17407273.19,415.66,direct,,2016-03-31,0.303032237,0.0,414.99571428571426,50.38220308777485,120895.43000000031
91,1459468800,416.86,412.79,415.66,38218.91,15852511.01,415.64,direct,,2016-04-01,0.384563548,0.0,414.83047619047613,50.3617187157455,82676.52000000031
92,1459555200,420.09,415.09,415.64,31309.25,13137339.89,418.51,direct,,2016-04-02,0.380368212,0.0,415.2185714285714,53.296218810826545,113985.77000000031
93,1459641600,420.18,416.95,418.51,22798.16,9591214.82,419.06,direct,,2016-04-03,0.370356424,0.0,415.5352380952382,53.859166836853014,136783.9300000003
94,1459728000,420.39,416.21,419.06,33436.9,14031939.65,419.33,direct,,2016-04-04,0.343071343,0.0,415.7742857142857,54.15133220585999,170220.8300000003
95,1459814400,423.67,417.95,419.33,40886.78,17260368.39,422.07,direct,,2016-04-05,0.366403099,0.0,416.1047619047619,57.1187725367398,211107.6100000003
96,1459900800,422.81,419.54,422.07,32667.23,13836754.91,421.26,direct,,2016-04-06,0.401624664,0.0,416.35952380952386,55.965596652960784,178440.3800000003
97,1459987200,422.03,417.94,421.26,36056.99,15200495.86,420.14,direct,,2016-04-07,0.373139291,0.0,416.4538095238096,54.33219999283919,142383.3900000003
98,1460073600,423.51,415.5,420.14,46947.25,19810838.26,417.69,direct,,2016-04-08,0.352222933,0.0,416.9076190476191,50.83691601162394,95436.1400000003
99,1460160000,418.85,412.39,417.69,29424.6,12291880.83,418.05,direct,,2016-04-09,0.380366552,0.0,417.35333333333335,51.33235096507845,124860.74000000031
100,1460246400,421.63,416.69,418.05,23300.23,9806327.9,420.25,direct,,2016-04-10,0.351414323,0.0,417.7685714285714,54.35929723076439,148160.97000000032
101,1460332800,422.35,418.11,420.25,36387.29,15374195.04,421.43,direct,,2016-04-11,0.34973915,0.0,418.26000000000005,55.94211880540457,184548.26000000033
102,1460419200,426.69,420.7,421.43,57711.94,24580503.64,424.74,direct,,2016-04-12,0.314123679,0.0,418.6661904761905,60.12008160809562,242260.20000000033
103,1460505600,426.58,421.41,424.74,38088.6,16183793.93,423.47,direct,,2016-04-13,0.326762474,0.0,418.97523809523807,57.853200406770235,204171.60000000033
104,1460592000,425.44,421.84,423.47,30664.4,13038970.54,424.02,direct,,2016-04-14,0.327041412,0.0,419.4171428571429,58.58156122654047,234836.00000000032
105,1460678400,429.49,423.25,424.02,54119.98,23214560.1,428.67,direct,,2016-04-15,0.326209284,0.0,420.03428571428566,64.21258375954875,288955.98000000033
106,1460764800,432.0,426.84,428.67,29021.18,12517265.78,430.05,direct,,2016-04-16,0.277038873,0.0,420.67904761904754,65.7028451560773,317977.1600000003
107,1460851200,430.62,423.79,430.05,25586.86,10980868.31,426.26,direct,,2016-04-17,0.349715333,0.0,420.7595238095238,58.49809924763479,292390.30000000034
108,1460937600,429.07,424.35,426.26,32574.71,13951524.85,427.69,direct,,2016-04-18,0.264466777,0.0,421.0204761904762,60.26841952819276,324965.01000000036
109,1461024000,436.07,426.84,427.69,45675.4,19713466.34,434.92,direct,,2016-04-19,0.301730666,0.0,421.9690476190476,67.75709434961381,370640.4100000004
110,1461110400,442.86,432.51,434.92,74361.53,32655415.81,441.16,direct,,2016-04-20,0.264303549,0.0,423.33666666666664,72.56357905655784,445001.9400000004
111,1461196800,450.8,439.53,441.16,63127.8,28168774.29,449.34,direct,,2016-04-21,0.290330763,0.0,424.9404761904762,77.33368214141959,508129.7400000004
112,1461283200,450.19,441.9,449.34,49710.33,22225157.27,445.28,direct,,2016-04-22,0.318969466,0.0,426.35190476190485,70.75810449141076,458419.4100000004
113,1461369600,451.48,443.07,445.28,42358.77,18998211.55,450.08,direct,,2016-04-23,0.380263777,0.0,427.8552380952381,73.61457178410163,500778.1800000004
114,1461456000,461.78,447.89,450.08,74434.28,33984269.34,457.56,direct,,2016-04-24,0.317407166,0.0,429.6885714285714,77.33081908690713,575212.4600000004
115,1461542400,466.23,451.79,457.56,81656.03,37614684.81,461.73,direct,,2016-04-25,0.329306101,0.0,431.707619047619,79.09824926036742,656868.4900000005
116,1461628800,468.86,459.23,461.73,67557.86,31451239.15,466.0,direct,,2016-04-26,0.312458854,0.0,433.79952380952375,80.75304702378625,724426.3500000004
117,1461715200,467.87,444.62,466.0,90806.31,41539684.76,447.01,direct,,2016-04-27,0.37923983,0.0,435.02571428571423,58.551543664855046,633620.0400000005
118,1461801600,450.1,433.9,447.01,81934.58,36369788.38,448.48,direct,,2016-04-28,0.334291392,0.0,436.37523809523805,59.480226727620504,715554.6200000005
119,1461888000,456.31,445.22,448.48,44850.72,20264761.95,454.98,direct,,2016-04-29,0.35764483,0.0,438.1509523809524,63.386650309920654,760405.3400000004
120,1461974400,456.86,446.65,454.98,35308.4,15994805.53,448.53,direct,,2016-04-30,0.405193626,0.0,439.60238095238094,57.46618631434151,725096.9400000004
121,1462060800,454.21,447.52,448.53,21745.59,9838490.74,452.24,direct,,2016-05-01,0.363106456,0.0,441.12571428571425,59.79247780019111,746842.5300000004
122,1462147200,453.87,440.21,452.24,73854.48,32863011.95,444.18,direct,,2016-05-02,0.187295708,0.0,442.20904761904757,53.00937628560937,672988.0500000004
